X,Y,OBJECTID,NAME,ADDRESS,COMMUNITY,PHONE,LONGITUDE,LATITUDE
596086.416400000452995,4784755.934399999678,1,Mohawk 4 Ice Centre,710 Mountain Brow Boulevard,Hamilton,905-318-5111,-79.817125562186,43.20947254867252
572082.81290000025183,4794348.050799999386,2,Beverly Arena,680 Highway 8,Flamborough,519-647-2722,-80.1113269820537,43.298509757941126
582494.916199999861419,4805381.78099999949,3,Carlisle Arena,1496 Centre Road,Flamborough,905-689-7283,-79.98131996136647,43.3967784957488
587639.194500000216067,4787884.7553,4,Chedoke Twin Pad Arena,91 Chedmac Drive,Hamilton,905-546-2429,-79.92059943106905,43.238669620888984
591538.261599999852479,4790209.7103,5,FirstOntario Centre,101 York Boulevard,Hamilton,905-546-3100,-79.87219966571433,43.259137916887674
589577.269299999810755,4790795.1344,6,Coronation Arena,81 Macklin Street North,Hamilton,905-546-3109,-79.89626047502854,43.26464412172841
592806.174200000241399,4791702.1225,7,Eastwood Arena,111 Burlington Street East,Hamilton,905-546-3152,-79.85632979849458,43.27241885038196
594455.832000000402331,4775909.04079999961,8,Glanbrook Arena,4300 Binbrook Road,Glanbrook,905-692-9331,-79.83870498193434,43.13003002955694
598842.812099999748,4788695.2726,9,Hamilton Doublerink Arena,1911 Barton Street East,Hamilton,905-545-5894,-79.78249455230846,43.244581371761534
592594.68030000012368,4787772.31,10,Inch Park Arena,400 Queensdale Avenue East,Hamilton,905-546-4922,-79.8595960405578,43.23706516645422
593346.752500000409782,4785313.9581,11,Bill Friday Lawfield Arena,150 Folkstone Avenue,Hamilton,905-546-4923,-79.85075118066243,43.21484012143342
584197.706299999728799,4790878.3748,12,J.L. Grightmire (Market Street) Arena,35 Market Street South,Dundas,905-540-6678,-79.96252182329292,43.2660138807633
580601.215900000184774,4785507.488,13,Morgan Firestone Arena,385 Jerseyville Road West,Ancaster,905-546-3769,-80.00761609677664,43.21805120439622
590855.446499999613,4786426.669299999252,14,Mountain (Dave Andreychuk) Arena,25 Hester Street,Hamilton,905-546-4938,-79.88123418829878,43.2251618714863
587354.93680000025779,4796147.031199999154,15,Harry Howell Arena,27 Highway No. 5 West,Flamborough,905-689-6666,-79.92278840369225,43.313088383771515
586481.454300000332296,4791669.436499999836,16,Westoby (Olympic) Arena,70 Olympic Drive,Dundas,905-540-6686,-79.93426208848754,43.27287723029571
597939.135499999858439,4787765.66059999913,17,Pat Quinn Parkdale Arena,1770 Main Street East,Hamilton,905-546-4785,-79.79378837260238,43.23633025930523
596897.283800000324845,4785811.9348,18,Rosedale Arena,100 Greenhill Avenue,Hamilton,905-546-4805,-79.8069601338853,43.218875869440566
605192.943799999542534,4785833.5942,19,Saltfleet Arena,24 Sherwood Park Road,Stoney Creek,905-643-3883,-79.70484095118088,43.217960221492866
581399.818900000303984,4785413.67129999958,20,Spring Valley Arena,29 Orchard Drive,Ancaster,905-648-4404,-79.99779878482516,43.21712082826902
600389.8629,4785602.2759,21,Stoney Creek Arena,37 King Street West,Stoney Creek,905-662-2426,-79.76400581022659,43.21653189808556
597668.000300000421703,4782932.041799999774,22,Valley Park Arena,970 Paramount Drive,Stoney Creek,905-546-2424 ext.1185,-79.7979820374786,43.19284948300226
605573.339499999769032,4787044.593399999663,23,Gateway Ice Centre,610 South Service Road,Stoney Creek,905-643-8668,-79.69992693717765,43.22880902664702
585567.939799999818206,4788876.2803,24,Wentworth Arenas,1249 Wilson Street East,Ancaster,905-525-6233,-79.9459516708869,43.247834343167625
601205.525700000114739,4783296.0777,25,F.H. Sherman Recreation and Learning Centre Arena,388 First Road East,Stoney Creek,905-560-5886,-79.75438831001205,43.19566111582893
